"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00011",81.051336,7.74123081605786,2204.75844,484.284687260381,197.1128844,34.8257881974986,73.578294,16.5867310987975,38.4156432,4.88922777398033,1.962288,0.600374611764699,-0.02,0.84,5,125,225.68,212,42.47,487.25,97.45,16.61,0.05,3.19,79.74,415.19,1.33,"sample_00011-23","11.05.2022","t7",11,NA,NA,1
"sample_00011",92.2888333333333,15.6552502263919,1725.3,862.282628857136,180.195375,60.0853001003453,65.3082,23.6946032515885,31.925625,7.87259655888314,2.05487037037037,0.577201022707821,0.11,0.98,2.16,54,102.03,74,34.37,274.94,127.29,22.15,0.52,4.88,122.07,553.83,13.1,"sample_00011-24","11.05.2022","t7",11,NA,NA,1
"sample_00011",57.8414444444445,9.39882555577323,793.9265625,298.787374802046,116.8061625,33.9552681728557,43.81295625,15.2839185962694,23.39510625,6.03455856665856,2.04079166666667,1.09791584809904,0.05,1.05,3,72,65.7,12,3.93,309.51,103.17,21.12,0.27,3.82,68.87,365.75,6.69,"sample_00011-27","11.05.2022","t7",11,NA,NA,1
"sample_00011",74.74215625,6.33518190847809,4355.376328125,1305.7885813209,298.2985734375,75.2701316685529,119.2351640625,31.4918742762863,45.002334375,7.96154855135321,2.637,0.500796591248834,-0.01,0.1,1.28,32,398.19,398,311.09,418.4,326.88,18.49,6.32,3.17,79.14,462.28,158.06,"sample_00011-29","11.05.2022","t7",11,NA,NA,1
"sample_00011",54.5261630434783,3.36528536835843,1252.2952173913,535.952260347301,166.07478423913,56.0308418950758,69.3057130434782,27.3369749915186,22.7280277173913,2.52557349841558,3.04513043478261,1.17667714504826,0,0.56,3.68,92,694.92,695,188.84,840.75,228.46,25.47,2.43,3.61,90.28,636.66,60.83,"sample_00011-3","11.05.2022","t7",11,NA,NA,1
"sample_00011",54.4947321428572,6.51257920556566,699.1565625,441.740119024534,113.73260625,44.8249252802065,36.7086214285714,11.3763863755023,22.6439839285714,8.08513713752872,1.74891071428571,0.628988459983335,-0.06,1.6,2.44,56,120.84,69,28.16,376.97,154.5,70.43,0.53,11.7,180.95,1235.19,13.19,"sample_00011-30","11.05.2022","t7",11,NA,NA,1
"sample_00011",54.6273793103448,5.83016594601972,779.401551724138,443.379688425921,126.092001724138,62.5587401902382,47.1818017241379,24.9423597484369,20.6226,4.89917723588068,2.32920689655172,1.24208029356601,-0.05,0.98,1.24,29,208.52,193,155.9,314.95,253.99,48,1.61,9.78,167.97,740.23,40.14,"sample_00011-31","11.05.2022","t7",11,NA,NA,1
"sample_00011",55.2963145161291,7.36711142868861,2188.14641129032,372.034580497976,235.782083467742,31.3510994666833,105.564131854839,16.1374750352522,26.4450955645161,4.43719621106485,4.06856451612903,0.722709459799375,0.04,0.45,5,124,1304.86,1173,234.69,2895.84,579.17,74.99,1.83,11.08,253.26,1118.83,45.66,"sample_00011-34","11.05.2022","t7",11,NA,NA,1
"sample_00011",81.8986666666667,14.812877664957,1115.67375,637.813960522904,139.1577,54.3349479649148,52.6323,21.0867282968749,24.8115,7.09304742630362,2.08248148148148,0.637729958250821,0.05,0.93,2.2,54,133.32,40,18.14,377.98,171.81,45.38,0.39,6.97,173,1134.39,9.67,"sample_00011-39","11.05.2022","t7",11,NA,NA,1
"sample_00011",75.3065769230769,12.772116417174,741.897692307692,168.31923535491,107.975336538462,21.8113642509154,40.3990615384615,10.1234183626807,23.6144596153846,4.15790248360924,1.78442307692308,0.688348177774993,-0.06,0.56,1.04,26,38.78,25,23.94,142.12,136.65,11.34,1.51,3.03,75.86,283.5,37.67,"sample_00011-4","11.05.2022","t7",11,NA,NA,1
"sample_00011",62.3496888888889,5.90688555771307,1657.017,652.422325616586,177.35319,46.8291224741038,65.10546,16.8133247912306,31.35672,8.16418051424247,2.14831111111111,0.589301235756931,0.01,0.83,1.8,45,82.19,67,37.39,241.1,133.94,20.6,0.17,4.24,106.02,515.05,4.13,"sample_00011-47","11.05.2022","t7",11,NA,NA,1
